,s,rp
349,0.6980000000000001,0.6979882114087076
350,0.7000000000000001,0.6999880415490247
351,0.7020000000000001,0.7019878697370113
352,0.704,0.7039876959558523
353,0.706,0.7059875201887202
354,0.708,0.7079873424186314
355,0.71,0.709987162628477
356,0.712,0.7119869808011374
357,0.714,0.7139867969193474
358,0.716,0.7159866109657018
359,0.718,0.717986422922786
360,0.72,0.7199862327730503
361,0.722,0.7219860404987926
362,0.724,0.7239858460822985
363,0.726,0.7259856495057326
364,0.728,0.7279854507510933
365,0.73,0.7299852498003654
366,0.732,0.7319850466354237
367,0.734,0.7339848412379655
368,0.736,0.7359846335896707
369,0.738,0.7379844236721227
370,0.74,0.7399842114667154
371,0.742,0.7419839969548224
372,0.744,0.7439837801177311
373,0.746,0.7459835609365321
374,0.748,0.747983339392288
375,0.75,0.7499831154659887
376,0.752,0.7519828891384187
377,0.754,0.7539826603903282
378,0.756,0.7559824292024053
379,0.758,0.7579821955551279
380,0.76,0.7599819594289303
381,0.762,0.7619817208041959
382,0.764,0.7639814796610944
383,0.766,0.7659812359797425
384,0.768,0.7679809897402142
385,0.77,0.7699807409223702
386,0.772,0.7719804895060067
387,0.774,0.7739802354708852
388,0.776,0.7759799787965567
389,0.778,0.7779797194624936
390,0.78,0.7799794574481411
391,0.782,0.7819791927327391
392,0.784,0.7839789252954347
393,0.786,0.7859786551153529
394,0.788,0.7879783821714206
395,0.79,0.7899781064424576
396,0.792,0.7919778279072655
397,0.794,0.7939775465444562
398,0.796,0.7959772623325199
399,0.798,0.7979769752499315
400,0.8,0.7999766852749861
401,0.802,0.8019763923858417
402,0.804,0.8039760965606436
403,0.806,0.8059757977773688
404,0.808,0.8079754960138406
405,0.81,0.8099751912478712
406,0.812,0.8119748834571169
407,0.8140000000000001,0.8139745726190648
