s,P
0.753,0.10799583302294345
0.754,0.10797745291499966
0.755,0.10795904378783627
0.756,0.10794060611459047
0.757,0.10792214036839945
0.758,0.1079036470224004
0.759,0.10788512654973054
0.76,0.107866579423527
0.761,0.107848006116927
0.762,0.10782940710306774
0.763,0.10781078285508643
0.764,0.10779213384612021
0.765,0.10777346054930631
0.766,0.1077547634377819
0.767,0.1077360429846842
0.768,0.10771729966315037
0.769,0.10769853394631762
0.77,0.10767974630732312
0.771,0.10766093721930407
0.772,0.10764210715539768
0.773,0.10762325658874114
0.774,0.1076043859924716
0.775,0.10758549583972629
0.776,0.10756658660364238
0.777,0.10754765875735708
0.778,0.10752871277400756
0.779,0.10750974912673104
0.78,0.10749076828866472
0.781,0.10747177073294573
0.782,0.10745275693271128
0.783,0.10743372736109859
0.784,0.10741468249124485
0.785,0.10739562279628723
0.786,0.10737654873517007
0.787,0.10735746048481505
0.788,0.10733835796278919
0.789,0.10731924107701012
0.79,0.10730010973539553
0.791,0.10728096384586303
0.792,0.10726180331633027
0.793,0.10724262805471493
0.794,0.10722343796893469
0.795,0.10720423296690715
0.796,0.10718501295654999
0.797,0.10716577784578085
0.798,0.10714652754251741
0.799,0.10712726195467728
0.8,0.1071079809901782
0.801,0.10708868455693772
0.802,0.10706937256287354
0.803,0.10705004491590331
0.804,0.10703070152394471
0.805,0.10701134229491537
0.806,0.10699196713673292
0.807,0.10697257595731506
0.808,0.1069531686645794
0.809,0.10693374516644362
0.81,0.1069143053708254
0.811,0.10689484918564233
0.812,0.10687537651881211
0.8130000000000001,0.10685588727825239
0.8140000000000001,0.1068363813718808
0.8150000000000001,0.10681685870761504
0.8160000000000001,0.10679731919337272
0.8170000000000001,0.10677776273707149
0.8180000000000001,0.10675818924662903
0.8190000000000001,0.10673859862996299
0.8200000000000001,0.106718990794991
0.8210000000000001,0.10669936564963076
0.8220000000000001,0.10667972310179989
0.8230000000000001,0.10666006305941604
0.8240000000000001,0.10664038543039688
0.8250000000000001,0.10662069012266008
0.8260000000000001,0.10660097704412325
0.8270000000000001,0.10658124610270404
0.8280000000000001,0.10656149720632016
0.8290000000000001,0.10654173026288923
0.8300000000000001,0.1065219451803289
0.8310000000000001,0.10650214186655686
0.8320000000000001,0.10648232022949071
0.833,0.10646248017704812
0.834,0.10644262161714678
0.835,0.10642274444951116
0.836,0.10640284831993985
0.837,0.1063829325775179
0.838,0.10636299655451471
0.839,0.1063430395831996
0.84,0.10632306099584192
0.841,0.10630306012471108
0.842,0.10628303630207636
0.843,0.10626298886020716
0.844,0.10624291713137281
0.845,0.10622282044784268
0.846,0.10620269814188613
0.847,0.10618254954577248
0.848,0.1061623739917711
0.849,0.10614217081215135
0.85,0.10612193933918258
0.851,0.10610167890513414
0.852,0.10608138884227543
0.853,0.1060610684828757
